OBJECTID_1;NOMDIS;NOMBRE;Shape_Leng;Shape_Area;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB
60;Centro;Palacio;5754,822748;1469905,684;1;1;PALACIO;11;11;1;PALACIO;1_1
50;Centro;Embajadores;4275,227681;1033724,698;1;1;EMBAJADORES;12;12;2;EMBAJADORES;1_2
55;Centro;Cortes;3731,07903;591874,1219;1;1;CORTES;13;13;3;CORTES;1_3
64;Centro;Justicia;3597,421427;739414,338;1;1;JUSTICIA;14;14;4;JUSTICIA;1_4
66;Centro;Universidad;4060,075813;948027,0773;1;1;UNIVERSIDAD;15;15;5;UNIVERSIDAD;1_5
56;Centro;Sol;2719,287883;445300,8221;1;1;SOL;16;16;6;SOL;1_6
49;Arganzuela;Imperial;4557,937642;967678,602;2;2;IMPERIAL;21;21;1;IMPERIAL;2_1
40;Arganzuela;Acacias;3950,326025;1073437,937;2;2;ACACIAS;22;22;2;ACACIAS;2_2
31;Arganzuela;Chopera;3203,407974;567786,5291;2;2;CHOPERA;23;23;3;CHOPERA;2_3
24;Arganzuela;Legazpi;5141,642671;1414470,497;2;2;LEGAZPI;24;24;4;LEGAZPI;2_4
32;Arganzuela;Delicias;4818,003355;1054679,159;2;2;DELICIAS;25;25;5;DELICIAS;2_5
42;Arganzuela;Palos de Moguer;3647,746883;648442,3062;2;2;PALOS DE MOGUER;26;26;6;PALOS DE MOGUER;2_6
44;Arganzuela;Atocha;4957,686882;735680,5995;2;2;ATOCHA;27;27;7;ATOCHA;2_7
41;Retiro;Pacífico;4017,277733;758250,3574;3;3;PACIFICO;31;31;1;PACÍFICO;3_1
39;Retiro;Adelfas;3584,886515;640789,3292;3;3;ADELFAS;32;32;2;ADELFAS;3_2
57;Retiro;Estrella;4441,309869;1025524,32;3;3;ESTRELLA;33;33;3;ESTRELLA;3_3
59;Retiro;Ibiza;2912,816977;491968,9088;3;3;IBIZA;34;34;4;IBIZA;3_4
58;Retiro;Jerónimos;5287,484774;1906397,625;3;3;JERONIMOS;35;35;5;JERÓNIMOS;3_5
52;Retiro;Niño Jesús;3545,833199;643280,6232;3;3;NIÑO JESUS;36;36;6;NIÑO JESÚS;3_6
65;Salamanca;Recoletos;3926,67638;873144,6521;4;4;RECOLETOS;41;41;1;RECOLETOS;4_1
62;Salamanca;Goya;3473,084308;770293,6532;4;4;GOYA;42;42;2;GOYA;4_2
67;Salamanca;Fuente del Berro;3886,350584;852575,7519;4;4;FUENTE DEL BERRO;43;43;3;FUENTE DEL BERRO;4_3
80;Salamanca;Guindalera;5192,252221;1602789,629;4;4;GUINDALERA;44;44;4;GUINDALERA;4_4
71;Salamanca;Lista;3233,583996;520214,543;4;4;LISTA;45;45;5;LISTA;4_5
73;Salamanca;Castellana;3746,206549;773385,1981;4;4;CASTELLANA;46;46;6;CASTELLANA;4_6
90;Chamartín;El Viso;5270,831966;1709232,753;5;5;EL VISO;51;51;1;EL VISO;5_1
92;Chamartín;Prosperidad;5253,174162;1040058,18;5;5;PROSPERIDAD;52;52;2;PROSPERIDAD;5_2
91;Chamartín;Ciudad Jardín;3915,016926;762309,5546;5;5;CIUDAD JARDIN;53;53;3;CIUDAD JARDÍN;5_3
97;Chamartín;Hispanoamérica;6079,005882;1712523,615;5;5;HISPANOAMERICA;54;54;4;HISPANOAMÉRICA;5_4
105;Chamartín;Nueva España;5591,541471;1790094,356;5;5;NUEVA ESPAÑA;55;55;5;NUEVA ESPAÑA;5_5
117;Chamartín;Castilla;6783,480236;2161263,419;5;5;CASTILLA;56;56;6;CASTILLA;5_6
96;Tetuán;Bellas Vistas;3433,625402;715169,6587;6;6;BELLAS VISTAS;61;61;1;BELLAS VISTAS;6_1
94;Tetuán;Cuatro Caminos;4354,62198;1185033,992;6;6;CUATRO CAMINOS;62;62;2;CUATRO CAMINOS;6_2
102;Tetuán;Castillejos;3547,927527;704681,2648;6;6;CASTILLEJOS;63;63;3;CASTILLEJOS;6_3
110;Tetuán;Almenara;4011,783651;999367,231;6;6;ALMENARA;64;64;4;ALMENARA;6_4
109;Tetuán;Valdeacederas;5027,597638;1163408,913;6;6;VALDEACEDERAS;65;65;5;VALDEACEDERAS;6_5
100;Tetuán;Berruguete;3421,085879;607063,3868;6;6;BERRUGUETE;66;66;6;BERRUGUETE;6_6
77;Chamberí;Gaztambide;2969,107549;506477,7286;7;7;GAZTAMBIDE;71;71;1;GAZTAMBIDE;7_1
76;Chamberí;Arapiles;3096,150008;578229,6215;7;7;ARAPILES;72;72;2;ARAPILES;7_2
75;Chamberí;Trafalgar;3505,635113;611878,1102;7;7;TRAFALGAR;73;73;3;TRAFALGAR;7_3
74;Chamberí;Almagro;4073,715463;937940,695;7;7;ALMAGRO;74;74;4;ALMAGRO;7_4
82;Chamberí;Rios Rosas;4063,12078;975419,8536;7;7;RIOS ROSAS;75;75;5;RÍOS ROSAS;7_5
83;Chamberí;Vallehermoso;4220,26344;1069239,038;7;7;VALLEHERMOSO;76;76;6;VALLEHERMOSO;7_6
129;Fuencarral - El Pardo;El Pardo;87226,06861;187583377,4;8;8;EL PARDO;81;81;1;EL PARDO;8_1
122;Fuencarral - El Pardo;Fuentelareina;7691,865161;1382643,627;8;8;FUENTELAREINA;82;82;2;FUENTELAREINA;8_2
120;Fuencarral - El Pardo;Peñagrande;7271,456041;2887271,929;8;8;PEÑAGRANDE;83;83;3;PEÑAGRANDE;8_3
119;Fuencarral - El Pardo;Pilar;5160,911053;1363211,522;8;8;PILAR;84;84;4;PILAR;8_4
121;Fuencarral - El Pardo;La Paz;6331,491771;2154754,781;8;8;LA PAZ;85;85;5;LA PAZ;8_5
127;Fuencarral - El Pardo;Valverde;12214,17614;8981228,485;8;8;VALVERDE;86;86;6;VALVERDE;8_6
126;Fuencarral - El Pardo;Mirasierra;13146,62549;6992795,517;8;8;MIRASIERRA;87;87;7;MIRASIERRA;8_7
128;Fuencarral - El Pardo;El Goloso;26548,95609;26493087,14;8;8;EL GOLOSO;88;88;8;EL GOLOSO;8_8
89;Moncloa - Aravaca;Casa de Campo;19242,53385;17460617,37;9;9;CASA DE CAMPO;91;91;1;CASA DE CAMPO;9_1
70;Moncloa - Aravaca;Argüelles;5290,483134;757530,9266;9;9;ARGÜELLES;92;92;2;ARGÜELLES;9_2
113;Moncloa - Aravaca;Ciudad Universitaria;19475,73452;14250853,24;9;9;CIUDAD UNIVERSITARIA;93;93;3;CIUDAD UNIVERSITARIA;9_3
108;Moncloa - Aravaca;Valdezarza;5347,782172;1397455,733;9;9;VALDEZARZA;94;94;4;VALDEZARZA;9_4
111;Moncloa - Aravaca;Valdemarín;8289,757491;3302462,343;9;9;VALDEMARIN;95;95;5;VALDEMARÍN;9_5
114;Moncloa - Aravaca;El Plantío;9950,438897;3528175,095;9;9;EL PLANTIO;96;96;6;EL PLANTÍO;9_6
103;Moncloa - Aravaca;Aravaca;10869,46795;5834041,441;9;9;ARAVACA;97;97;7;ARAVACA;9_7
45;Latina;Cármenes;6182,223313;1291998,544;10;10;CARMENES;101;101;1;CÁRMENES;10_1
53;Latina;Puerta del Ángel;5368,775884;1375298,049;10;10;PUERTA DEL ANGEL;102;102;2;PUERTA DEL ÁNGEL;10_2
47;Latina;Lucero;5498,297382;1678995,603;10;10;LUCERO;103;103;3;LUCERO;10_3
33;Latina;Aluche;7267,78656;2849809,707;10;10;ALUCHE;104;104;4;ALUCHE;10_4
30;Latina;Campamento;16523,70181;9191379,465;10;10;CAMPAMENTO;105;105;5;CAMPAMENTO;10_5
9;Latina;Cuatro Vientos;10117,75419;5430118,612;10;10;CUATRO VIENTOS;106;106;6;CUATRO VIENTOS;10_6
21;Latina;Águilas;7627,752998;3609602,617;10;10;AGUILAS;107;107;7;ÁGUILAS;10_7
29;Carabanchel;Comillas;4257,855716;666096,1285;11;11;COMILLAS;111;111;1;COMILLAS;11_1
26;Carabanchel;Opañel;4492,831497;1107286,044;11;11;OPAÑEL;112;112;2;OPAÑEL;11_2
36;Carabanchel;San Isidro;6149,55255;1899332,06;11;11;SAN ISIDRO;113;113;3;SAN ISIDRO;11_3
19;Carabanchel;Vista Alegre;6437,032314;1589225,482;11;11;VISTA ALEGRE;114;114;4;VISTA ALEGRE;11_4
16;Carabanchel;Puerta Bonita;5985,243377;1608625,387;11;11;PUERTA BONITA;115;115;5;PUERTA BONITA;11_5
8;Carabanchel;Buenavista;11586,85546;5613180,402;11;11;BUENAVISTA;116;116;6;BUENAVISTA;11_6
15;Carabanchel;Abrantes;5494,747451;1564570,609;11;11;ABRANTES;117;117;7;ABRANTES;11_7
6;Usera;Orcasitas;4664,667436;1356362,732;12;12;ORCASITAS;121;121;1;ORCASITAS;12_1
12;Usera;Orcasur;6014,653673;1387349,575;12;12;ORCASUR;122;122;2;ORCASUR;12_2
10;Usera;San Fermín;5876,026696;1475399,064;12;12;SAN FERMIN;123;123;3;SAN FERMÍN;12_3
17;Usera;Almendrales;3727,308432;780140,8801;12;12;ALMENDRALES;124;124;4;ALMENDRALES;12_4
25;Usera;Moscardó;4248,710272;908787,6515;12;12;MOSCARDO;125;125;5;MOSCARDÓ;12_5
13;Usera;Zofío;3742,722801;774025,5366;12;12;ZOFIO;126;126;6;ZOFÍO;12_6
14;Usera;Pradolongo;4785,097917;1095651,854;12;12;PRADOLONGO;127;127;7;PRADOLONGO;12_7
20;Puente de Vallecas;Entrevías;11034,98765;5971941,777;13;13;ENTREVIAS;131;131;1;ENTREVÍAS;13_1
27;Puente de Vallecas;San Diego;4726,309806;1069868,7;13;13;SAN DIEGO;132;132;2;SAN DIEGO;13_2
23;Puente de Vallecas;Palomeras Bajas;5649,533593;1723868,314;13;13;PALOMERAS BAJAS;133;133;3;PALOMERAS BAJAS;13_3
22;Puente de Vallecas;Palomeras Sureste;7823,249151;3108597,48;13;13;PALOMERAS SURESTE;134;134;4;PALOMERAS SURESTE;13_4
28;Puente de Vallecas;Portazgo;4834,744499;1245260,691;13;13;PORTAZGO;135;135;5;PORTAZGO;13_5
38;Puente de Vallecas;Numancia;5364,460225;1849069,192;13;13;NUMANCIA;136;136;6;NUMANCIA;13_6
34;Moratalaz;Pavones;4120,649108;1009652,016;14;14;PAVONES;141;141;1;PAVONES;14_1
48;Moratalaz;Horcajo;3896,493256;745946,3219;14;14;HORCAJO;142;142;2;HORCAJO;14_2
51;Moratalaz;Marroquina;6747,795677;1790050,431;14;14;MARROQUINA;143;143;3;MARROQUINA;14_3
54;Moratalaz;Media Legua;4676,05777;998967,7103;14;14;MEDIA LEGUA;144;144;4;MEDIA LEGUA;14_4
43;Moratalaz;Fontarrón;6220,556474;964573,8875;14;14;FONTARRON;145;145;5;FONTARRÓN;14_5
46;Moratalaz;Vinateros;3721,671378;593977,2816;14;14;VINATEROS;146;146;6;VINATEROS;14_6
68;Ciudad Lineal;Ventas;8207,619728;3198035,685;15;15;VENTAS;151;151;1;VENTAS;15_1
72;Ciudad Lineal;Pueblo Nuevo;7746,682999;2319216,423;15;15;PUEBLO NUEVO;152;152;2;PUEBLO NUEVO;15_2
78;Ciudad Lineal;Quintana;4438,48928;723117,3281;15;15;QUINTANA;153;153;3;QUINTANA;15_3
81;Ciudad Lineal;Concepción;5775,727302;885910,7502;15;15;CONCEPCION;154;154;4;CONCEPCIÓN;15_4
84;Ciudad Lineal;San Pascual;4456,051268;1052724,597;15;15;SAN PASCUAL;155;155;5;SAN PASCUAL;15_5
93;Ciudad Lineal;San Juan Bautista;4012,350954;1010844,475;15;15;SAN JUAN BAUTISTA;156;156;6;SAN JUAN BAUTISTA;15_6
99;Ciudad Lineal;Colina;3175,567913;559698,965;15;15;COLINA;157;157;7;COLINA;15_7
104;Ciudad Lineal;Atalaya;2240,850863;248882,7483;15;15;ATALAYA;158;158;8;ATALAYA;15_8
118;Ciudad Lineal;Costillares;5635,575423;1427246,848;15;15;COSTILLARES;159;159;9;COSTILLARES;15_9
95;Hortaleza;Palomas;4994,629147;1129769,724;16;16;PALOMAS;161;161;1;PALOMAS;16_1
98;Hortaleza;Piovera;7833,911636;3139649,512;16;16;PIOVERA;162;162;2;PIOVERA;16_2
106;Hortaleza;Canillas;7568,376733;2522508,915;16;16;CANILLAS;163;163;3;CANILLAS;16_3
115;Hortaleza;Pinar del Rey;8208,5887;2664766,715;16;16;PINAR DEL REY;164;164;4;PINAR DEL REY;16_4
116;Hortaleza;Apostol Santiago;4724,24833;1205069,875;16;16;APOSTOL SANTIAGO;165;165;5;APOSTOL SANTIAGO;16_5
125;Hortaleza;Valdefuentes;18862,91957;16757996,81;16;16;VALDEFUENTES;166;166;6;VALDEFUENTES;16_6
5;Villaverde;Villaverde Alto, Casco Histórico de Villaverde;13726,6605;9253553,841;17;17;VILLAVERDE ALTO, CASCO HISTORICO DE VILLAVERDE;171;171;1;VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE;17_1
1;Villaverde;San Cristóbal;4752,827446;1082492,472;17;17;SAN CRISTOBAL;172;172;2;SAN CRISTOBAL;17_2
2;Villaverde;Butarque;12641,91686;6375521,776;17;17;BUTARQUE;173;173;3;BUTARQUE;17_3
4;Villaverde;Los Rosales;5470,262628;1540746,761;17;17;LOS ROSALES;174;174;4;LOS ROSALES;17_4
3;Villaverde;Los Ángeles;5703,998815;1935271,49;17;17;LOS ANGELES;175;175;5;LOS ÁNGELES;17_5
11;Villa de Vallecas;Casco Histórico de Vallecas;39357,26884;43045886,11;18;18;CASCO HISTORICO DE VALLECAS;181;181;1;CASCO HISTÓRICO DE VALLECAS;18_1
18;Villa de Vallecas;Santa Eugenia;6793,019649;2080233,339;18;18;SANTA EUGENIA;182;182;2;SANTA EUGENIA;18_2
7;Villa de Vallecas;Ensanche de Vallecas;14866,71359;6341118,962;18;18;ENSANCHE DE VALLECAS;183;183;3;ENSANCHE DE VALLECAS;18_3
130;Vicálvaro;Casco Histórico de Vicálvaro;31101,7474;21494220,32;19;19;CASCO HISTORICO DE VICALVARO;191;191;1;CASCO HISTÓRICO DE VICÁLVARO;19_1
37;Vicálvaro;Valdebernardo;7086,989581;2555072,515;19;19;VALDEBERNARDO;192;192;2;VALDEBERNARDO;19_2
35;Vicálvaro;Valderrivas;4577,756836;643168,463;19;19;VALDERRIVAS;193;193;3;VALDERRIVAS;19_3
131;Vicálvaro;El Cañaveral;15928,20256;10574251,79;19;19;EL CAÑAVERAL;194;194;4;EL CAÑAVERAL;19_4
79;San Blas - Canillejas;Simancas;6683,599302;2276342,64;20;20;SIMANCAS;201;201;1;SIMANCAS;20_1
69;San Blas - Canillejas;Hellín;3989,902796;550556,0793;20;20;HELLIN;202;202;2;HELLÍN;20_2
63;San Blas - Canillejas;Amposta;3097,460516;370249,9945;20;20;AMPOSTA;203;203;3;AMPOSTA;20_3
61;San Blas - Canillejas;Arcos;5074,872108;1305194,038;20;20;ARCOS;204;204;4;ARCOS;20_4
86;San Blas - Canillejas;Rosas;16073,10844;9296501,191;20;20;ROSAS;205;205;5;ROSAS;20_5
88;San Blas - Canillejas;Rejas;13389,64872;5015732,122;20;20;REJAS;206;206;6;REJAS;20_6
85;San Blas - Canillejas;Canillejas;5438,211307;1597706,227;20;20;CANILLEJAS;207;207;7;CANILLEJAS;20_7
87;San Blas - Canillejas;Salvador;6577,506379;1880110,04;20;20;SALVADOR;208;208;8;SALVADOR;20_8
101;Barajas;Alameda de Osuna;6044,942922;1970335,16;21;21;ALAMEDA DE OSUNA;211;211;1;ALAMEDA DE OSUNA;21_1
124;Barajas;Aeropuerto;28744,09551;29626078,71;21;21;AEROPUERTO;212;212;2;AEROPUERTO;21_2
112;Barajas;Casco Histórico de Barajas;3388,647571;549393,8312;21;21;CASCO HISTORICO DE BARAJAS;213;213;3;CASCO HISTÓRICO DE BARAJAS;21_3
123;Barajas;Timón;11840,04489;5094466,328;21;21;TIMON;214;214;4;TIMÓN;21_4
107;Barajas;Corralejos;9726,95075;4682537,436;21;21;CORRALEJOS;215;215;5;CORRALEJOS;21_5
